,date,ticker,ret,hold,timestop
0,2025-11-13,HSIC,-0.017725661303517826,13,False
1,2025-11-13,LLY,0.0009483121022222374,15,False
2,2025-11-13,AMGN,-0.020565476190476217,16,False
3,2025-11-14,HSIC,0.008539829203416005,12,False
4,2025-11-14,LLY,-0.001404494382022392,14,False
5,2025-11-14,LITE,0.4476846866250268,37,False
6,2025-11-17,SOLV,0.0528940805880036,16,False
7,2025-11-17,MRK,0.05589058798190827,16,False
8,2025-11-17,AMGN,-0.036931901319832594,14,False
9,2025-11-17,LLY,0.0020945483018497413,13,False
10,2025-11-17,LITE,0.3883587392076673,36,False
11,2025-11-18,AMGN,-0.04331521265153071,13,False
12,2025-11-18,BIIB,0.027601729550435383,17,False
13,2025-11-18,REGN,-0.02789036865469985,14,False
14,2025-11-18,LLY,-0.006028833551769308,12,False
15,2025-11-18,MRK,0.016799751114798145,15,False
16,2025-11-18,APA,-0.0670144462279294,3,False
17,2025-11-19,APA,-0.033264033264033266,2,False
18,2025-11-19,EPAM,0.10755540816890496,30,False
19,2025-11-19,LLY,-0.02454268292682915,11,False
20,2025-11-19,MRK,0.03156233561283539,14,False
21,2025-11-19,LITE,0.2497396995388963,34,False
22,2025-11-20,MNST,0.009969537524231464,15,False
23,2025-11-20,LLY,-0.01864294683165746,10,False
24,2025-11-20,REGN,-0.043270013568521004,12,False
25,2025-11-20,MRK,0.03243129409287149,13,False
26,2025-11-20,JNJ,-0.0122125375486285,13,False
27,2025-11-21,DXCM,0.17914660468205224,50,False
28,2025-11-21,MRK,0.0029664484451716877,12,False
29,2025-11-21,SOLV,-0.03232810615199044,12,False
30,2025-11-21,BIIB,-0.01032515687393043,14,False
31,2025-11-21,LLY,-0.0338397659715014,9,False
32,2025-11-21,REGN,-0.06719142743749174,11,False
33,2025-11-21,JNJ,-0.016233447768513987,12,False
34,2025-11-21,MDT,-0.01679841897233203,12,False
35,2025-11-24,DXCM,0.14161710335958833,49,False
36,2025-11-24,MRK,-0.023406374501992122,11,False
37,2025-11-24,SOLV,-0.03789877668505637,11,False
38,2025-11-24,BIIB,-0.018832711231761,13,False
39,2025-11-24,LLY,-0.043283247364880095,8,False
40,2025-11-24,REGN,-0.07399041302777598,10,False
41,2025-11-24,MDT,-0.03585271317829464,11,False
42,2025-11-25,REGN,-0.1044175176548291,9,False
43,2025-11-25,SOLV,-0.0647079398391045,10,False
44,2025-11-25,MRK,-0.0720234715123983,10,False
45,2025-11-25,BIIB,-0.04654869202022427,12,False
46,2025-11-25,RVTY,-0.06033911149000659,10,False
47,2025-11-25,LLY,-0.07757176063571003,7,False
48,2025-11-26,REGN,-0.10132422477409153,8,False
49,2025-11-26,MRK,-0.06288827296186561,9,False
50,2025-11-26,SOLV,-0.059223642547203026,9,False
51,2025-11-26,BIIB,-0.04644388259865884,11,False
52,2025-11-28,SOLV,-0.059113300492610876,8,False
53,2025-12-01,CVNA,0.12378414390406411,22,False
54,2025-12-02,UAL,0.07357731366162112,30,False
55,2025-12-02,CVNA,0.10334903192046063,21,False
