conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,mle_rank,irc_rank,source_signal_label
16454492,2025-07-11,2025-05-06,66,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,3,2,MLE_TOP10xIRC_TOP10_20d
44001820,2025-07-11,2025-07-10,1,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,9,4,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-11,2025-05-05,67,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,7,1,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-14,2025-04-25,80,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,5,2,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-14,2025-05-06,69,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,4,3,MLE_TOP10xIRC_TOP10_20d
32602412,2025-07-14,2025-04-25,80,,MATCHED_STRONG,False,OK,,11201000000.0,1304000000.0,1.8,1267000000.0,0.409,0.486,0.116,13851000000.0,6.748,21247000000.0,2699000000.0,LVS,10,3,MLE_TOP10xIRC_TOP10_20d
44001820,2025-07-14,2025-07-10,4,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,6,2,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-14,2025-05-05,70,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,8,1,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-14,2025-05-08,67,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,7,6,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-15,2025-04-25,81,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,6,3,MLE_TOP10xIRC_TOP10_20d
8677881,2025-07-15,2025-05-05,71,,MATCHED_STRONG,False,OK,,6665300000.0,633700000.0,1.47,1408400000.0,0.075,0.399,0.095,3370300000.0,0.648,13253900000.0,8029900000.0,ON,8,6,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-15,2025-05-06,70,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,2,2,MLE_TOP10xIRC_TOP10_20d
32602412,2025-07-15,2025-04-25,81,,MATCHED_STRONG,False,OK,,11201000000.0,1304000000.0,1.8,1267000000.0,0.409,0.486,0.116,13851000000.0,6.748,21247000000.0,2699000000.0,LVS,4,2,MLE_TOP10xIRC_TOP10_20d
44001820,2025-07-15,2025-07-10,5,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,7,3,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-15,2025-05-05,71,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,9,1,MLE_TOP10xIRC_TOP10_20d
