,conid,candidate_date,ticker,A,B,C,D,E,F,ret_fwd_5d,ret_fwd_10d,ret_fwd_20d,spyrel_fwd_5d,spyrel_fwd_10d,spyrel_fwd_20d
0,10291,2025-07-09,NKE,True,True,False,True,True,True,-1.7809,0.6253,6.4845,-1.901,-0.1294,4.6898
1,11520,2025-07-09,RCL,True,True,True,True,False,True,2.5362,3.8673,0.2398,2.416,3.1125,-1.5549
2,16454492,2025-07-09,WYNN,True,True,False,False,False,False,0.8448,-3.3794,-0.6359,0.7247,-4.1341,-2.4306
3,32602412,2025-07-09,LVS,True,True,False,True,False,False,1.2497,-2.7011,5.5029,1.1296,-3.4558,3.7082
4,9282,2025-07-10,LUV,True,False,True,False,False,False,-0.589,-1.3119,-17.7778,-0.001,-1.7833,-19.1584
5,10291,2025-07-10,NKE,True,True,False,True,True,True,-3.5245,-0.8041,2.7607,-2.9365,-1.2755,1.3801
6,11520,2025-07-10,RCL,True,True,True,True,False,True,-0.0205,1.497,-2.991,0.5675,1.0256,-4.3716
7,16454492,2025-07-10,WYNN,True,True,False,False,False,False,-0.8309,-4.9763,-2.1442,-0.2428,-5.4477,-3.5248
8,79498203,2025-07-10,UAL,True,True,True,True,False,True,-5.7707,0.7418,-1.5599,-5.1827,0.2704,-2.9405
9,120643512,2025-07-10,NCLH,True,False,True,True,False,False,-1.7711,0.1728,1.0799,-1.183,-0.2986,-0.3007
10,9282,2025-07-11,LUV,True,False,True,False,False,False,0.7541,-0.7272,-16.6981,0.6579,-1.553,-18.0547
11,10291,2025-07-11,NKE,True,True,False,True,True,True,-0.7297,1.9138,2.8363,-0.8259,1.088,1.4797
12,16454492,2025-07-11,WYNN,True,True,False,False,False,False,-1.1874,-4.3267,-1.925,-1.2836,-5.1525,-3.2816
13,44001820,2025-07-11,DAL,True,True,True,True,False,True,-1.9241,-1.0768,-6.0724,-2.0203,-1.9026,-7.429
14,120643512,2025-07-11,NCLH,True,False,True,True,False,False,1.901,2.5199,12.9973,1.8048,1.6941,11.6408
15,9282,2025-07-14,LUV,True,False,True,False,False,False,-2.2281,-11.7772,-21.0875,-2.8619,-13.3153,-22.1054
16,16454492,2025-07-14,WYNN,True,True,False,False,False,False,-4.1888,-2.3061,-3.5672,-4.8226,-3.8442,-4.5852
17,32602412,2025-07-14,LVS,True,True,False,True,False,False,-3.9021,1.1149,4.3201,-4.5358,-0.4232,3.3022
18,44001820,2025-07-14,DAL,True,True,True,True,False,True,-3.5622,-5.851,-9.6197,-4.196,-7.389,-10.6376
19,120643512,2025-07-14,NCLH,True,False,True,True,False,False,-0.3438,0.9884,8.8956,-0.9776,-0.5497,7.8777
20,292491487,2025-07-14,TPR,True,True,True,True,False,True,4.7858,6.775,10.1822,4.152,5.2369,9.1643
21,9282,2025-07-15,LUV,True,False,True,False,False,False,-0.7272,-10.5575,-19.8761,-1.7929,-12.9621,-21.3276
22,8677881,2025-07-15,ON,True,True,False,False,True,False,2.749,-3.4108,-18.5983,1.6833,-5.8154,-20.0498
23,16454492,2025-07-15,WYNN,True,True,False,False,False,False,-4.1802,-1.4054,-3.5586,-5.2459,-3.81,-5.01
24,32602412,2025-07-15,LVS,True,True,False,True,False,False,-3.1889,5.1143,5.0943,-4.2546,2.7097,3.6428
25,44001820,2025-07-15,DAL,True,True,True,True,False,True,0.5924,-1.5258,-5.7261,-0.4733,-3.9304,-7.1775
26,120643512,2025-07-15,NCLH,True,False,True,True,False,False,1.9789,4.7493,11.4336,0.9132,2.3447,9.9822
27,292491487,2025-07-15,TPR,True,True,True,True,False,True,4.7343,6.6339,10.128,3.6686,4.2293,8.6765
28,4391,2025-07-16,AMD,True,True,True,False,True,True,-1.924,8.4833,8.8893,-2.6529,6.4455,8.2886
29,44001820,2025-07-16,DAL,True,True,True,True,False,True,0.8639,0.09,-4.8416,0.135,-1.9478,-5.4424
30,292491487,2025-07-16,TPR,True,True,True,True,False,True,5.7018,9.6851,10.748,4.9729,7.6474,10.1472
31,292491487,2025-07-17,TPR,True,True,True,True,False,True,4.0035,8.0854,9.7788,3.873,6.6682,9.024
32,584127832,2025-07-17,COHR,True,True,True,False,True,True,-3.2509,4.0088,6.8508,-3.3815,2.5917,6.0961
33,691984365,2025-07-17,GEV,True,True,False,True,False,False,-3.7147,13.5907,16.553,-3.8452,12.1736,15.7982
34,292491487,2025-07-18,TPR,True,True,True,True,False,True,5.5599,6.7685,4.8927,4.5034,5.2771,4.1485
35,4391,2025-07-21,AMD,True,True,True,False,True,True,10.6115,12.2994,9.7325,9.3121,11.7729,8.5953
36,79498203,2025-07-21,UAL,True,True,True,True,False,True,0.0866,-4.3747,-3.2702,-1.2127,-4.9011,-4.4073
37,292491487,2025-07-21,TPR,True,True,True,True,False,True,3.7684,1.5224,1.4566,2.4691,0.996,0.3195
38,268627,2025-07-22,DHI,True,True,False,True,True,True,-4.7557,-2.0847,0.9511,-6.0406,-0.9493,-0.1715
39,292491487,2025-07-22,TPR,True,True,True,True,False,True,3.9247,0.0565,1.6094,2.6398,1.1919,0.4867
40,292491487,2025-07-23,TPR,True,True,True,True,False,True,1.145,2.4915,1.548,0.7145,2.9709,0.2109
41,691984365,2025-07-23,GEV,True,True,False,False,False,False,2.9617,5.3638,4.5165,2.5312,5.8432,3.1794
42,731466408,2025-07-23,TEL,True,True,True,False,True,True,3.6131,0.9701,1.0394,3.1827,1.4494,-0.2977
43,281316445,2025-07-24,BKR,True,True,True,True,True,True,0.0656,-4.3088,-6.2773,-0.0668,-3.7966,-7.9277
44,691984365,2025-07-24,GEV,True,True,False,False,False,False,1.3943,6.2182,1.6571,1.2619,6.7305,0.0068
45,268376,2025-07-25,DECK,True,True,True,True,True,True,-5.3487,-10.03,-11.1168,-4.9344,-9.0992,-12.349
46,6607708,2025-07-25,FIX,True,True,True,True,True,True,2.0661,1.5129,0.1626,2.4805,2.4437,-1.0695
47,691984365,2025-07-25,GEV,True,True,False,False,False,False,1.615,2.8204,-2.9973,2.0294,3.7512,-4.2294
48,731466408,2025-07-25,TEL,True,True,True,False,True,True,-0.6633,-1.9514,-0.5239,-0.2489,-1.0206,-1.756
49,6607708,2025-07-28,FIX,True,True,True,True,True,True,0.8933,0.2107,0.4026,1.7992,0.947,-0.5959
50,281316445,2025-07-28,BKR,True,True,True,True,True,True,-6.015,-7.7551,-7.9055,-5.1091,-7.0188,-8.904
51,691984365,2025-07-28,GEV,True,True,False,False,False,False,2.333,-0.2779,-3.4957,3.2389,0.4584,-4.4942
52,731466408,2025-07-28,TEL,True,True,True,False,True,True,-2.5509,-4.4999,-2.6942,-1.645,-3.7635,-3.6927
53,6820,2025-07-29,EME,True,True,True,True,True,True,-1.1018,-2.8307,-3.6638,-0.458,-3.133,-4.9294
54,268376,2025-07-29,DECK,True,True,True,True,True,True,-6.226,-9.3034,-5.8246,-5.5822,-9.6056,-7.0903
55,6607708,2025-07-29,FIX,True,True,True,True,True,True,1.6709,0.5948,1.1764,2.3147,0.2925,-0.0892
56,281316445,2025-07-29,BKR,True,True,True,True,True,True,-4.3716,-5.377,-6.2951,-3.7278,-5.6793,-7.5607
57,731466408,2025-07-29,TEL,True,True,True,False,True,True,-2.4717,-3.4374,-2.6151,-1.8278,-3.7396,-3.8807
58,6607708,2025-07-30,FIX,True,True,True,True,True,True,-0.542,-1.3742,-2.7085,-0.0234,-1.6043,-3.5517
59,72529783,2025-07-30,GNRC,True,True,True,False,True,True,8.5249,8.5746,9.989,9.0434,8.3445,9.1457
60,281316445,2025-07-30,BKR,True,True,True,True,True,True,-3.9095,-6.2157,-5.6666,-3.391,-6.4458,-6.5098
61,731466408,2025-07-30,TEL,True,True,True,False,True,True,-1.2967,-3.2998,-1.5918,-0.7781,-3.5299,-2.4351
62,7655,2025-07-31,GLW,True,True,True,False,True,True,-0.1107,2.7514,2.1505,0.5395,2.1439,1.1965
63,4347086,2025-07-31,EBAY,True,True,True,True,False,True,-0.5123,3.8692,8.0654,0.138,3.2617,7.1114
64,6607708,2025-07-31,FIX,True,True,True,True,True,True,-1.6849,-1.4204,-3.1594,-1.0347,-2.028,-4.1134
65,72529783,2025-07-31,GNRC,True,True,True,False,True,True,1.3303,0.94,-2.5887,1.9806,0.3324,-3.5427
66,691984365,2025-07-31,GEV,True,True,False,False,False,False,-1.6008,-1.4433,-8.4357,-0.9506,-2.0508,-9.3897
67,731466408,2025-07-31,TEL,True,True,True,False,True,True,-2.051,-2.8627,-2.0413,-1.4008,-3.4702,-2.9953
68,268627,2025-08-01,DHI,True,True,False,True,True,True,2.5017,3.1005,7.6979,0.7227,0.8165,5.4735
69,6607708,2025-08-01,FIX,True,True,True,True,True,True,-0.6975,-0.2862,-0.187,-2.4765,-2.5702,-2.4114
70,72529783,2025-08-01,GNRC,True,True,True,False,True,True,0.1446,1.4925,-1.5907,-1.6343,-0.7914,-3.8151
71,691984365,2025-08-01,GEV,True,True,False,False,False,False,1.2262,-0.8743,-7.6923,-0.5527,-3.1583,-9.9168
72,268627,2025-08-04,DHI,True,True,False,True,True,True,1.096,6.9285,10.2296,0.3435,4.7452,8.4393
73,5019164,2025-08-04,WSM,True,True,True,True,True,True,-0.2593,2.4536,-1.2767,-1.0119,0.2704,-3.067
74,6607708,2025-08-04,FIX,True,True,True,True,True,True,-0.8367,-1.3302,-1.1414,-1.5893,-3.5134,-2.9317
75,72529783,2025-08-04,GNRC,True,True,True,False,True,True,0.0458,1.2931,-1.6036,-0.7068,-0.8902,-3.394
76,691984365,2025-08-04,GEV,True,True,False,False,False,False,-1.8121,-5.6581,-9.1223,-2.5647,-7.8413,-10.9126
77,6607708,2025-08-05,FIX,True,True,True,True,True,True,0.269,-1.5316,-0.039,-0.997,-3.9951,-2.3481
78,691984365,2025-08-05,GEV,True,True,False,False,False,False,0.1601,-4.2803,-7.297,-1.1059,-6.7438,-9.606
79,6607708,2025-08-06,FIX,True,True,True,True,True,True,0.4142,0.7691,2.4535,-0.082,-0.8934,0.497
80,7655,2025-08-07,GLW,True,True,True,False,True,True,1.5287,1.1736,3.845,-0.1225,-0.5742,1.5705
81,6607708,2025-08-07,FIX,True,True,True,True,True,True,3.482,0.1915,2.2176,1.8307,-1.5562,-0.0568
82,740948854,2025-08-07,ANET,True,True,True,True,True,True,1.4144,-0.8903,-4.315,-0.2368,-2.638,-6.5895
83,7655,2025-08-08,GLW,True,True,True,False,True,True,-0.0456,-0.3801,4.8046,-1.2556,-1.3406,2.9621
84,4347086,2025-08-08,EBAY,True,True,True,True,False,True,8.192,6.3238,-0.365,6.9819,5.3633,-2.2075
85,481863646,2025-08-08,APP,True,True,True,True,False,True,-2.101,-3.8247,6.0902,-3.311,-4.7852,4.2477
86,740948854,2025-08-08,ANET,True,True,True,True,True,True,-0.8406,-0.8191,-2.1196,-2.0507,-1.7796,-3.9621
87,7655,2025-08-11,GLW,True,True,True,False,True,True,0.831,-0.1385,5.3709,-0.3295,-0.0803,4.6868
88,4347086,2025-08-11,EBAY,True,True,True,True,False,True,3.914,3.7356,-5.6768,2.7534,3.7938,-6.3609
89,481863646,2025-08-11,APP,True,True,True,True,False,True,-5.8078,-10.0563,3.4688,-6.9683,-9.9981,2.7847
90,740948854,2025-08-11,ANET,True,True,True,True,True,True,0.2833,-4.0828,-1.2931,-0.8772,-4.0246,-1.9772
91,4347086,2025-08-12,EBAY,True,True,True,True,False,True,2.0297,2.2254,-7.3872,1.9348,1.8178,-7.0106
92,481863646,2025-08-12,APP,True,True,True,True,False,True,-6.0942,-5.4218,3.1542,-6.1891,-5.8295,3.5307
93,740948854,2025-08-12,ANET,True,True,True,True,True,True,-2.2726,-5.6637,-3.8088,-2.3675,-6.0714,-3.4323
